image_path,question,answer
images/train/71t2zhGviuL.jpg,What is the weight of this item ?,150.0 gram
images/train/617su42TIBL.jpg,What is the width of this item ?,67.0 centimetre
images/train/61PnyYfNY7L.jpg,What is the weight of this item ?,0.6 kilogram
images/train/817RmvL+ABL.jpg,What is the weight of this item ?,100.0 gram
images/train/61Aer3a3GlL.jpg,What is the weight of this item ?,150.0 gram
images/train/618ctIhxAVL.jpg,What is the width of this item ?,24.0 inch
images/train/61Fg81SsTtL.jpg,What is the depth of this item ?,15.2 centimetre
images/train/519PmihZ0CL.jpg,What is the width of this item ?,4.6 centimetre
images/train/619LJ4euDgL.jpg,What is the depth of this item ?,27.0 centimetre
images/train/61FBP7gFjWL.jpg,What is the height of this item ?,52.0 millimetre
images/train/51x3nN0I0xS.jpg,What is the depth of this item ?,2.5 centimetre
images/train/71R0coza1eL.jpg,What is the weight of this item ?,99.0 pound
images/train/617NlSIg6MS.jpg,What is the width of this item ?,62.0 inch
images/train/51nvdL-TbFL.jpg,What is the height of this item ?,96.0 millimetre
images/train/61DkLUAOd2L.jpg,What is the depth of this item ?,300.0 millimetre
images/train/51T+wMH58gL.jpg,What is the weight of this item ?,20.0 gram
images/train/415e66vUeXL.jpg,What is the width of this item ?,3.8 centimetre
images/train/71SrqY3YwrL.jpg,What is the weight of this item ?,5300.0 pound
images/train/610lMrWcFVL.jpg,What is the width of this item ?,61.0 centimetre
images/train/912qpR5E-7L.jpg,What is the weight of this item ?,30.0 pound
images/train/71cnTdas0BL.jpg,What is the wattage of this item ?,240.0 watt
images/train/31J0OubGLTL.jpg,What is the width of this item ?,90.0 centimetre
images/train/61CLMSS14rL.jpg,What is the height of this item ?,12.0 inch
images/train/41X2YngYalL.jpg,What is the volume of this item ?,1.05 ounce
images/train/619V3+yHPYL.jpg,What is the height of this item ?,47.0 millimetre
images/train/71A9t19ib5L.jpg,What is the weight of this item ?,12.0 milligram
images/train/61r8jh4Z2BL.jpg,What is the weight of this item ?,0.1764 ounce
images/train/615UiWaBbFL.jpg,What is the height of this item ?,44.0 centimetre
images/train/61EosU5Q5lL.jpg,What is the height of this item ?,5.0 inch
images/train/61bw6cW3FYL.jpg,What is the weight of this item ?,6.0 gram
images/train/61ucrHiF3uL.jpg,What is the volume of this item ?,4.0 cubic inch
images/train/4137voaR11S.jpg,What is the height of this item ?,5.0 centimetre
images/train/51Wa9+RIliL.jpg,What is the width of this item ?,50.0 millimetre
images/train/617HE0fCBFL.jpg,What is the weight of this item ?,600.0 milligram
images/train/512bVKZdgxL.jpg,What is the height of this item ?,180.0 centimetre
images/train/819vTZlYAqL.jpg,What is the weight of this item ?,340.0 gram
images/train/61eGqQ5DyZL.jpg,What is the weight of this item ?,2.2 pound
images/train/61pjErR6WSL.jpg,What is the weight of this item ?,1914.0 gram
images/train/51B4fc9Ww6L.jpg,What is the height of this item ?,30.0 centimetre
images/train/619wI8LsY0L.jpg,What is the weight of this item ?,1.0 kilogram
images/train/61+MK6Xc96L.jpg,What is the height of this item ?,46.0 centimetre
images/train/61EKgo4v7kL.jpg,What is the weight of this item ?,1.0 pound
images/train/41ehFf54q3L.jpg,What is the width of this item ?,24.0 centimetre
images/train/61BwcvtZs8L.jpg,What is the depth of this item ?,17.9 centimetre
images/train/71bmLniEvWL.jpg,What is the weight of this item ?,300.0 gram
images/train/510PbRiidOL.jpg,What is the weight of this item ?,30.0 gram
images/train/517Spz6IlBL.jpg,What is the depth of this item ?,6.0 inch
images/train/51Fh+tUIyML.jpg,What is the depth of this item ?,12.59 inch
images/train/51Mk2nnIYrL.jpg,What is the height of this item ?,17.7 inch
images/train/619UToJzlTL.jpg,What is the height of this item ?,6.5 inch
images/train/618lTe8hUGL.jpg,What is the depth of this item ?,23.0 inch
images/train/51r+toJV6xL.jpg,What is the depth of this item ?,19.7 inch
images/train/61A-O0j846L.jpg,What is the depth of this item ?,9.0 centimetre
images/train/81mF7azrRxL.jpg,What is the weight of this item ?,2.0 ton
images/train/919LHDzzJoL.jpg,What is the weight of this item ?,400 gram
images/train/61-QmmdEisL.jpg,What is the voltage of this item ?,230.0 volt
images/train/61rTn-ymlLL.jpg,What is the weight of this item ?,70 gram
images/train/61wDa739bpL.jpg,What is the weight of this item ?,202.0 gram
images/train/51qhcUpdkUL.jpg,What is the depth of this item ?,50.0 centimetre
images/train/6114QgPVXeL.jpg,What is the height of this item ?,10.0 inch
images/train/619-qFPFaHL.jpg,What is the depth of this item ?,13.0 inch
images/train/51spymWQoeS.jpg,What is the width of this item ?,16.0 centimetre
images/train/618ev4MpLrL.jpg,What is the depth of this item ?,25.0 centimetre
images/train/51hJsIRXKfL.jpg,What is the weight of this item ?,200.0 milligram
images/train/91fTqQcIzQL.jpg,What is the weight of this item ?,50.0 gram
images/train/51hzqRUx47L.jpg,What is the height of this item ?,10.3 centimetre
images/train/613QMIJijAL.jpg,What is the depth of this item ?,10.0 inch
images/train/51Jvn2iq0DL.jpg,What is the depth of this item ?,17.0 centimetre
images/train/91EJ95XanHL.jpg,What is the weight of this item ?,3.0 gram
images/train/51dy6FHydrL.jpg,What is the height of this item ?,6.5 inch
images/train/61+7-7-mbKL.jpg,What is the depth of this item ?,60.0 centimetre
images/train/613M7SVMz0L.jpg,What is the depth of this item ?,25.0 millimetre
images/train/51BU8thnGvL.jpg,What is the depth of this item ?,12.0 centimetre
images/train/71NOq3VrxhS.jpg,What is the wattage of this item ?,1.75 kilowatt
images/train/81DPu7GedYL.jpg,What is the weight of this item ?,550.0 gram
images/train/61FKnvmZ4YL.jpg,What is the weight of this item ?,810.0 gram
images/train/81LsB1Vx3iL.jpg,What is the volume of this item ?,"[100.0, 250.0] millilitre"
images/train/71fn1Ro3GaL.jpg,What is the weight recommendation of this item ?,59.5 pound
images/train/71Qp2fCFNqL.jpg,What is the weight of this item ?,25.0 gram
images/train/51WzjWruxxL.jpg,What is the depth of this item ?,150.0 centimetre
images/train/51jsoWs6HxL.jpg,What is the height of this item ?,112.0 centimetre
images/train/51raeCKZYdS.jpg,What is the depth of this item ?,7.5 centimetre
images/train/71KwQrRuULL.jpg,What is the weight of this item ?,0.0 microgram
images/train/51XOAW6O+RL.jpg,What is the width of this item ?,10.5 centimetre
images/train/51vlg8kmqPL.jpg,What is the width of this item ?,2.5 centimetre
images/train/512tSo5y9NL.jpg,What is the depth of this item ?,510.0 millimetre
images/train/61AKUjYy+HS.jpg,What is the weight of this item ?,32.0 gram
images/train/71ze066ZeRL.jpg,What is the weight of this item ?,133 gram
images/train/61AGc9Or1KL.jpg,What is the depth of this item ?,15.0 inch
images/train/51BmbeyPUYL.jpg,What is the height of this item ?,30.0 centimetre
images/train/61YnCrvYJsL.jpg,What is the weight of this item ?,110.0 pound
images/train/61Ch5-By+kL.jpg,What is the height of this item ?,1.9 inch
images/train/41b2FOnq1+S.jpg,What is the weight of this item ?,100 gram
images/train/71tBzaqq3sL.jpg,What is the volume of this item ?,200.0 millilitre
images/train/6146MgKKFdL.jpg,What is the depth of this item ?,7.0 inch
images/train/61Be3pDLLWL.jpg,What is the height of this item ?,67.0 inch
images/train/61Fw-KndHbL.jpg,What is the depth of this item ?,81.3 centimetre
images/train/61A9uwvWhxL.jpg,What is the depth of this item ?,30.0 inch
images/train/81tqB2Hbg-L.jpg,What is the weight of this item ?,250.0 gram
images/train/51NwQRJ+iAL.jpg,What is the depth of this item ?,6.5 centimetre
images/train/61W8tfqrKmL.jpg,What is the wattage of this item ?,40.0 watt
images/train/81ibK8AVl7L.jpg,What is the weight of this item ?,0.28 ounce
images/train/61+T2rQGJaL.jpg,What is the height of this item ?,1.17 inch
images/train/51ABYXVv5IL.jpg,What is the depth of this item ?,51.0 centimetre
images/train/51TV58PMdNL.jpg,What is the weight of this item ?,1000.0 milligram
images/train/617MHs9C7iL.jpg,What is the width of this item ?,1.95 inch
images/train/61BxlRj8wCL.jpg,What is the width of this item ?,40.0 inch
images/train/81RTpoQFe8L.jpg,What is the weight of this item ?,200.0 gram
images/train/71PtodSCSQL.jpg,What is the weight of this item ?,3.29 kilogram
images/train/41wcFftNnxS.jpg,What is the depth of this item ?,10.0 metre
images/train/61+NIOhxceL.jpg,What is the depth of this item ?,2.05 inch
images/train/51HwnisTwbL.jpg,What is the width of this item ?,58.0 millimetre
images/train/51HLq5dQ+eL.jpg,What is the depth of this item ?,19.0 centimetre
images/train/51hukkCxyBL.jpg,What is the width of this item ?,10.5 centimetre
images/train/51uqxp3xHgL.jpg,What is the width of this item ?,18.0 centimetre
images/train/71A67nrZsjL.jpg,What is the volume of this item ?,1.41 fluid ounce
images/train/61qUI72OafL.jpg,What is the weight of this item ?,0.251 kilogram
images/train/51E4BqGpmWL.jpg,What is the height of this item ?,120.0 centimetre
images/train/71004ZatsWL.jpg,What is the weight of this item ?,177.0 gram
images/train/611F14JNtEL.jpg,What is the depth of this item ?,2.0 metre
images/train/51n4N6d7bAL.jpg,What is the height of this item ?,25.0 centimetre
images/train/61dVLPBDKAL.jpg,What is the weight of this item ?,10000 microgram
images/train/71q+VPl1Z1L.jpg,What is the voltage of this item ?,230.0 volt
images/train/51pjhZjGuQL.jpg,What is the height of this item ?,29.0 inch
images/train/71A1owl856L.jpg,What is the volume of this item ?,2.03 fluid ounce
images/train/41dpWTyEQqL.jpg,What is the width of this item ?,12.0 millimetre
images/train/61-jDuFknML.jpg,What is the volume of this item ?,1.0 fluid ounce
images/train/61dpo5pu3ZL.jpg,What is the volume of this item ?,200.0 millilitre
images/train/61iO1l63q+L.jpg,What is the voltage of this item ?,"[100.0, 130.0] volt"
images/train/712ZkfqWKAL.jpg,What is the weight of this item ?,125.0 gram
images/train/513GShoFEML.jpg,What is the height of this item ?,180.0 centimetre
images/train/51fInWazA3L.jpg,What is the width of this item ?,65.0 centimetre
images/train/51H8gzWc9JL.jpg,What is the depth of this item ?,11.0 centimetre
images/train/41A6az+yejL.jpg,What is the width of this item ?,0.59 inch
images/train/61-40Mb1D8L.jpg,What is the weight of this item ?,100 gram
images/train/614NSFnbXCL.jpg,What is the width of this item ?,12.0 inch
images/train/616SOwM1SBL.jpg,What is the height of this item ?,20.0 inch
images/train/71SlGZTlAPL.jpg,What is the weight of this item ?,4.0 gram
images/train/71d9x0UY3YL.jpg,What is the weight of this item ?,0.2 kilogram
images/train/818VrlGikfL.jpg,What is the weight of this item ?,1.1 kilogram
images/train/71jJchNTASL.jpg,What is the weight of this item ?,209.0 gram
images/train/51a0blU6wZL.jpg,What is the height of this item ?,22.0 centimetre
images/train/51R3EFCjumL.jpg,What is the width of this item ?,3.0 centimetre
images/train/61MlQO3L2HL.jpg,What is the weight of this item ?,3.7 gram
images/train/71jBlDTreRL.jpg,What is the weight recommendation of this item ?,1.0 ton
images/train/51Fw+m43w6L.jpg,What is the width of this item ?,22.5 centimetre
images/train/81d9wZL4ChL.jpg,What is the weight of this item ?,125.0 milligram
images/train/516zyrrTN+L.jpg,What is the height of this item ?,40.0 millimetre
images/train/613TkqGcyuL.jpg,What is the height of this item ?,5.4 inch
images/train/517qUbQUkKL.jpg,What is the depth of this item ?,38.0 millimetre
images/train/51A44jELZqL.jpg,What is the width of this item ?,100.0 millimetre
images/train/51rzw6vJ2QL.jpg,What is the weight of this item ?,8.2 gram
images/train/715QeLPQcBL.jpg,What is the volume of this item ?,4.0 ounce
images/train/51QX9SWo6JL.jpg,What is the width of this item ?,28.3 inch
images/train/81GRx79edvL.jpg,What is the weight of this item ?,390.0 gram
images/train/51z4j2TOVZL.jpg,What is the height of this item ?,33.0 inch
images/train/611ZbAOYs1L.jpg,What is the width of this item ?,38.0 millimetre
images/train/61zjMeo9+RL.jpg,What is the weight of this item ?,120.0 gram
images/train/71PqWxd82IL.jpg,What is the weight of this item ?,500 gram
images/train/41tyjN7ARJL.jpg,What is the depth of this item ?,21.5 inch
images/train/41ehTdr-3tL.jpg,What is the width of this item ?,19.0 centimetre
images/train/81+YzTHU8cL.jpg,What is the weight of this item ?,1.5 gram
images/train/61DhklIDvTL.jpg,What is the depth of this item ?,46.0 centimetre
images/train/81xy-lUVuoL.jpg,What is the weight of this item ?,10.0 milligram
images/train/41Nx5HYjdcL.jpg,What is the depth of this item ?,39.37 inch
images/train/41doQEyT1mL.jpg,What is the width of this item ?,6.0 inch
images/train/51uKKkbD8mL.jpg,What is the weight of this item ?,100.0 gram
images/train/71O5a6oHb2L.jpg,What is the weight of this item ?,1000.0 milligram
images/train/51RgezNwp4L.jpg,What is the width of this item ?,53.0 centimetre
images/train/51nvrlyJr5L.jpg,What is the height of this item ?,4.9 inch
images/train/51+AGOapEkL.jpg,What is the height of this item ?,34.0 centimetre
images/train/71bGi+dQjHL.jpg,What is the weight of this item ?,22.7 gram
images/train/91lr-oOCNcL.jpg,What is the weight of this item ?,3.0 ounce
images/train/81InW-jkQpL.jpg,What is the weight recommendation of this item ?,2.0 kilogram
images/train/71XGQncjznL.jpg,What is the weight of this item ?,75.0 gram
images/train/61i4Bh8q1KL.jpg,What is the wattage of this item ?,40.0 watt
images/train/71j6JlT4TKL.jpg,What is the voltage of this item ?,120.0 volt
images/train/71YckeCSRBL.jpg,What is the weight of this item ?,21000 milligram
images/train/61dkRA7lqGL.jpg,What is the weight of this item ?,250.0 gram
images/train/51tTfnn2A3L.jpg,What is the depth of this item ?,33.0 millimetre
images/train/81ynIjLj8WL.jpg,What is the weight of this item ?,1.44 ounce
images/train/61B-POlH1vL.jpg,What is the width of this item ?,13.0 inch
images/train/61--QufuT9S.jpg,What is the height of this item ?,7.0 inch
images/train/61A0BCrxIZL.jpg,What is the width of this item ?,42.0 centimetre
images/train/51-i3HwiDNL.jpg,What is the depth of this item ?,195.0 millimetre
images/train/41n4fxKm5CS.jpg,What is the weight of this item ?,2.8 gram
images/train/51JTu0gcmtL.jpg,What is the height of this item ?,48.0 centimetre
images/train/619NdnfhmQL.jpg,What is the depth of this item ?,17.5 centimetre
images/train/61+9nAuRFYL.jpg,What is the weight of this item ?,115.0 gram
images/train/61+D6iIrbnL.jpg,What is the depth of this item ?,58.0 millimetre
images/train/61quVBzWImL.jpg,What is the weight of this item ?,75 gram
images/train/51l+hhVewjL.jpg,What is the depth of this item ?,215.0 centimetre
images/train/51kLKNU0qYS.jpg,What is the height of this item ?,4.3 inch
images/train/81UqRNJqGBL.jpg,What is the voltage of this item ?,230.0 volt
images/train/61EgdV6KpKL.jpg,What is the width of this item ?,60.0 millimetre
images/train/31zdHytv3mL.jpg,What is the weight of this item ?,100 gram
images/train/41WFjgLzjKL.jpg,What is the width of this item ?,18.5 inch
images/train/51dGblTbcZL.jpg,What is the height of this item ?,32.0 centimetre
images/train/51vsN3ENPJL.jpg,What is the height of this item ?,3.93 inch
images/train/71zWjBay5zL.jpg,What is the weight recommendation of this item ?,25 kilogram
images/train/812EyfCb7BL.jpg,What is the weight of this item ?,260.0 milligram
images/train/51g3cfZWGGL.jpg,What is the depth of this item ?,91.0 centimetre
images/train/815yHBYSLPL.jpg,What is the weight of this item ?,17.6 pound
images/train/51siEY9sMKL.jpg,What is the height of this item ?,25.0 centimetre
images/train/51UVPnEz61L.jpg,What is the weight of this item ?,1.7 gram
images/train/611mxHkygHL.jpg,What is the weight of this item ?,35.3 ounce
images/train/71cgCmsjSTL.jpg,What is the weight of this item ?,1.8 gram
images/train/6116zqTPfNL.jpg,What is the width of this item ?,75.0 millimetre
images/train/51Hj5w6z+3L.jpg,What is the width of this item ?,100.0 centimetre
images/train/61Gl5VqPlJL.jpg,What is the weight of this item ?,2.0 ounce
images/train/51PJ9zogCgL.jpg,What is the width of this item ?,6.0 inch
images/train/61+7ZHwAHJL.jpg,What is the width of this item ?,2.5 centimetre
images/train/512HIPn-jAL.jpg,What is the height of this item ?,7.5 inch
images/train/612-FlZsiuL.jpg,What is the weight of this item ?,2270 gram
images/train/51IUddBJ-8L.jpg,What is the width of this item ?,5.6 centimetre
images/train/513IrpzmwLL.jpg,What is the width of this item ?,200.79 centimetre
images/train/816Dp78uGdL.jpg,What is the weight of this item ?,120.0 gram
images/train/615A1fOAXHL.jpg,What is the width of this item ?,1.89 inch
images/train/71ZR8oUjRdL.jpg,What is the weight of this item ?,14.0 gram
images/train/61CK02j-LQL.jpg,What is the weight of this item ?,1.9 milligram
images/train/6189Ji0cR8L.jpg,What is the volume of this item ?,2.0 quart
images/train/51GMqi0aCNL.jpg,What is the height of this item ?,7.0 inch
images/train/61QNDPCN50L.jpg,What is the weight of this item ?,100 gram
images/train/6157zld490L.jpg,What is the depth of this item ?,90.0 centimetre
images/train/51DwQGoiXxL.jpg,What is the width of this item ?,23.0 centimetre
images/train/71zZTusXVrL.jpg,What is the weight of this item ?,80 gram
images/train/615v8XjV+aL.jpg,What is the width of this item ?,10.0 inch
images/train/81XgA6aP0zL.jpg,What is the weight of this item ?,4.0 ounce
images/train/611Nd-b9V4L.jpg,What is the height of this item ?,102.0 centimetre
images/train/51l6P5QzgbL.jpg,What is the height of this item ?,85.0 centimetre
images/train/61sfht8OqVL.jpg,What is the weight of this item ?,6.3 gram
images/train/71DK9zcS2jL.jpg,What is the weight of this item ?,0.07 pound
images/train/61I7B3+-RvL.jpg,What is the weight of this item ?,39.5 gram
images/train/61927g5iWhL.jpg,What is the width of this item ?,8.5 inch
images/train/71xigpdFb+L.jpg,What is the weight of this item ?,250 gram
images/train/71IutV0XVVL.jpg,What is the weight of this item ?,250.0 kilogram
images/train/51xh9dTJyKL.jpg,What is the height of this item ?,23.0 centimetre
images/train/313qpwFqvHL.jpg,What is the width of this item ?,10.1 inch
images/train/61+PDixopqL.jpg,What is the width of this item ?,400.0 millimetre
images/train/31RRy5g6DkL.jpg,What is the weight of this item ?,400 gram
images/train/91H0fTHpaNL.jpg,What is the weight of this item ?,50.0 kilogram
images/train/6132U3cOWjL.jpg,What is the height of this item ?,12.0 inch
images/train/71GBghxzP1L.jpg,What is the weight of this item ?,6.0 gram
images/train/51hmA6kCT3L.jpg,What is the volume of this item ?,200.0 gallon
images/train/71k6hMlDZIL.jpg,What is the weight of this item ?,40.0 gram
images/train/51kx7jqKyqL.jpg,What is the width of this item ?,50.0 centimetre
images/train/91eOK-P6U8L.jpg,What is the wattage of this item ?,240.0 watt
images/train/616qCdk0DfL.jpg,What is the depth of this item ?,19.0 centimetre
images/train/61U+L2ebyjL.jpg,What is the weight of this item ?,1.5 gram
images/train/51bnhNhPk7L.jpg,What is the width of this item ?,6.3 inch
images/train/51pjRujjNFL.jpg,What is the depth of this item ?,12.0 inch
images/train/61eIndAZe6L.jpg,What is the weight of this item ?,130.0 gram
images/train/71vX7FlPXGL.jpg,What is the weight of this item ?,20 gram
images/train/41qL4wZPl2L.jpg,What is the width of this item ?,22.0 centimetre
images/train/61qWRDY8f2L.jpg,What is the weight of this item ?,400 gram
images/train/81NwAC7YgwL.jpg,What is the weight of this item ?,100.0 kilogram
images/train/51mY0nL9fnL.jpg,What is the depth of this item ?,118.0 inch
images/train/51T93MFY-QL.jpg,What is the height of this item ?,32.0 inch
images/train/81uWXxLQpKL.jpg,What is the weight of this item ?,6.0 ounce
images/train/61BwCVqllWS.jpg,What is the height of this item ?,13.5 centimetre
images/train/71fr2NAU+AL.jpg,What is the weight of this item ?,85.0 gram
images/train/718vwu1zM6L.jpg,What is the wattage of this item ?,1500.0 watt
images/train/31FPVUHnzuL.jpg,What is the weight of this item ?,85 gram
images/train/61ljrsy39WL.jpg,What is the weight of this item ?,10.0 kilogram
images/train/81lAtUZy9aL.jpg,What is the volume of this item ?,750.0 millilitre
images/train/61q-1M29GTL.jpg,What is the weight of this item ?,1200.0 pound
images/train/61SAJB41uHL.jpg,What is the weight of this item ?,5.64 ounce
images/train/71tFiKxDeFL.jpg,What is the weight of this item ?,690.0 gram
images/train/6157Rbiy2-L.jpg,What is the depth of this item ?,20.0 centimetre
images/train/514pfrogkQL.jpg,What is the height of this item ?,30.0 millimetre
images/train/61FSObecpeL.jpg,What is the depth of this item ?,12.7 centimetre
images/train/51iwUw21m4L.jpg,What is the height of this item ?,42.1 centimetre
images/train/61erh8e0OIL.jpg,What is the weight of this item ?,41 gram
images/train/71tz5oC1AwL.jpg,What is the weight of this item ?,38 pound
images/train/51HWf2hWtYL.jpg,What is the height of this item ?,43.0 centimetre
images/train/81FzlUJ7GNL.jpg,What is the volume of this item ?,200.0 millilitre
images/train/61VPA9IgX5L.jpg,What is the weight of this item ?,13.0 gram
images/train/51dBGZaNqqL.jpg,What is the weight of this item ?,150 gram
images/train/71lPHbRtJ5L.jpg,What is the weight of this item ?,1400.0 gram
images/train/71cFOMYll1S.jpg,What is the weight of this item ?,1000 milligram
images/train/51JsQbSa0VL.jpg,What is the width of this item ?,58.0 centimetre
images/train/51gns-DzO+L.jpg,What is the height of this item ?,13.5 centimetre
images/train/71PeSqiQkrL.jpg,What is the weight of this item ?,30 gram
images/train/51YwHwehK0S.jpg,What is the weight of this item ?,90.0 gram
images/train/71hvZNgjfWL.jpg,What is the weight recommendation of this item ?,5.0 ton
images/train/514zRzQdXJL.jpg,What is the weight of this item ?,209.0 gram
images/train/71ed9mjcUrL.jpg,What is the weight of this item ?,5.0 pound
images/train/617FkRa8dXL.jpg,What is the height of this item ?,11.0 inch
images/train/41lP4CGPHjL.jpg,What is the depth of this item ?,300.0 centimetre
images/train/81Ud81mz5lL.jpg,What is the weight of this item ?,100.0 gram
images/train/51HDGnnEuzL.jpg,What is the width of this item ?,10.0 millimetre
images/train/6175Dm20eyL.jpg,What is the depth of this item ?,6.8 centimetre
images/train/51vytDwwXBL.jpg,What is the depth of this item ?,110.0 millimetre
images/train/818XkM8eE3L.jpg,What is the weight of this item ?,200 gram
images/train/61BnK4E3zPL.jpg,What is the height of this item ?,20.0 centimetre
images/train/71NIL6mNnFL.jpg,What is the wattage of this item ?,60.0 watt
images/train/810WrUDSDjL.jpg,What is the weight of this item ?,600 gram
